COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE,EDUCATIONGDPSHARE,NOBELLAUREATES,PATENTFILINGS
KOR,1895,0.0,,,
KWT,1895,0.0,,,
LBR,1895,0.0,,,
LBY,1895,0.0,,,
LKA,1895,0.0,,,
LSO,1895,0.0,,,
LUX,1895,0.0,,,
MAR,1895,0.0,,,
MEX,1895,0.1,,,
MLI,1895,0.0,,,
MLT,1895,0.0,,,
MMR,1895,0.0,,,
MOZ,1895,0.0,,,
MUS,1895,0.0,,,
MWI,1895,0.0,,,
MYS,1895,0.0,,,
NER,1895,0.0,,,
NIC,1895,0.0,,,
NLD,1895,0.3,,,
NOR,1895,0.7,,,789.0
NPL,1895,0.0,,,
NZL,1895,0.5,,,816.0
OWID_WRL,1895,0.2284285,,,
PAK,1895,0.0,,,
PAN,1895,0.0,,,
PER,1895,0.0,,,
PHL,1895,0.0,,,
POL,1895,0.2,,,
PRT,1895,0.2,,,174.0
PRY,1895,0.0,,,
REU,1895,0.0,,,
ROU,1895,0.0,,,
RUS,1895,0.1,,,
SDN,1895,0.0,,,
SEN,1895,0.0,,,
SLE,1895,0.0,,,
SLV,1895,0.0,,,
SRB,1895,0.0,,,
SWE,1895,0.2,,,1460.0
SWZ,1895,0.0,,,
SYR,1895,0.0,,,
TGO,1895,0.0,,,
THA,1895,0.0,,,
TTO,1895,0.0,,,
TUN,1895,0.0,,,30.0
TUR,1895,0.0,,,
TWN,1895,0.0,,,
UGA,1895,0.0,,,
URY,1895,0.2,,,
USA,1895,3.0,,,39145.0
VEN,1895,0.0,,,
YEM,1895,0.0,,,
ZAF,1895,0.0,,,
ZMB,1895,0.0,,,
ZWE,1895,0.0,,,
ARG,1896,,,,266.0
AUT,1896,,,,5808.0
BEL,1896,,,,6346.0
CAN,1896,,,,3728.0
CHE,1896,,,,2266.0
DEU,1896,,,,16486.0
DNK,1896,,,,1116.0
ESP,1896,,,,1656.0
FRA,1896,,,,11820.0
GBR,1896,,,,20263.0
GBR,1896,,,,9931.0
HUN,1896,,,,3208.0
IND,1896,,,,173.0
IND,1896,,,,287.0
ITA,1896,,,,3015.0
JPN,1896,,,,1213.0
NOR,1896,,,,934.0
NZL,1896,,,,992.0
PRT,1896,,,,265.0
RUS,1896,,,,1006.0
SWE,1896,,,,1714.0
TUN,1896,,,,47.0
USA,1896,,,,42077.0
ARG,1897,,,,370.0
AUT,1897,,,,6412.0
BEL,1897,,,,7427.0
CAN,1897,,,,4300.0
CHE,1897,,,,2492.0
DEU,1897,,,,18347.0
DNK,1897,,,,1270.0
ESP,1897,,,,1791.0
FRA,1897,,,,13007.0
GBR,1897,,,,19904.0
GBR,1897,,,,11054.0
HUN,1897,,,,3628.0
IND,1897,,,,157.0
IND,1897,,,,294.0
ITA,1897,,,,3295.0
JPN,1897,,,,1542.0
NOR,1897,,,,1098.0
NZL,1897,,,,1093.0
PRT,1897,,,,310.0
RUS,1897,,,,2602.0
SWE,1897,,,,1947.0
TUN,1897,,,,61.0
USA,1897,,,,45661.0
ARG,1898,,,,385.0
AUT,1898,,,,6777.0
BEL,1898,,,,7042.0
CAN,1898,,,,4200.0
CHE,1898,,,,2701.0
DEU,1898,,,,20321.0
DNK,1898,,,,1387.0
ESP,1898,,,,1702.0
FRA,1898,,,,12807.0
GBR,1898,,,,17389.0
GBR,1898,,,,10270.0
HUN,1898,,,,3903.0
IND,1898,,,,171.0
IND,1898,,,,310.0
ITA,1898,,,,3424.0
JPN,1898,,,,1789.0
NOR,1898,,,,1317.0
NZL,1898,,,,1021.0
PRT,1898,,,,293.0
RUS,1898,,,,2994.0
SWE,1898,,,,2023.0
TUN,1898,,,,49.0
USA,1898,,,,33915.0
ARG,1899,,,,352.0
AUT,1899,,,,6491.0
BEL,1899,,,,7080.0
BRA,1899,,,,424.0
CAN,1899,,,,4305.0
CHE,1899,,,,2812.0
DEU,1899,,,,14443.0
DEU,1899,,,,6637.0
DNK,1899,,,,1428.0
