COUNTRYCODE,YEAR,MERCHANDISEEXPORTGDPSHARE
BHS,1964,10.96886
BHS,1965,9.93235
BHS,1966,10.55441
BHS,1967,9.22716
BHS,1968,11.40476
BHS,1969,11.94061
BHS,1970,20.34451
BHS,1971,51.83291
BHS,1972,58.09952
BHS,1973,78.95812
BHS,1974,228.27957
BHS,1975,420.71957
BHS,1976,466.03021
BHS,1977,457.31274
BHS,1978,367.30417
BHS,1979,332.05032
BHS,1980,361.56445
BHS,1981,429.75815
BHS,1982,285.91968
BHS,1983,229.0351
BHS,1984,166.63316
BHS,1985,113.46793
BHS,1986,109.26592
BHS,1987,100.52285
BHS,1988,76.15849
BHS,1989,90.97093
BHS,1990,34.48574
BHS,1991,30.56221
BHS,1992,37.23058
BHS,1993,30.88569
BHS,1994,19.4214
BHS,1995,19.2862
BHS,1996,17.36679
BHS,1997,14.39488
BHS,1998,11.10626
BHS,1999,14.04508
BHS,2000,15.21838
BHS,2001,15.30691
BHS,2002,19.25738
BHS,2003,22.56496
BHS,2004,24.42768
BHS,2005,32.2023
BHS,2006,27.67728
BHS,2007,27.85081
BHS,2008,35.77056
BHS,2009,29.75409
BHS,2010,35.16789
BHS,2011,34.6199
BHS,2012,34.19741
BHS,2013,40.18739
BHS,2014,40.53111
BHR,1971,154.21129
BHR,1972,209.19386
BHR,1973,132.81232
BHR,1974,177.93617
BHR,1975,160.20779
BHR,1976,141.06718
BHR,1977,127.53404
BHR,1978,110.74115
BHR,1979,120.04623
BHR,1980,117.48502
BHR,1981,124.25359
BHR,1982,102.62128
BHR,1983,84.2051
BHR,1984,79.30924
BHR,1985,76.30355
BHR,1986,75.77757
BHR,1987,69.43588
BHR,1988,65.30694
BHR,1989,70.28976
BHR,1990,90.736
BHR,1991,76.10117
BHR,1992,72.93103
BHR,1993,71.65019
BHR,1994,62.00444
BHR,1995,71.15365
BHR,1996,75.41879
BHR,1997,98.11846
BHR,1998,104.29969
BHR,1999,98.89004
BHR,2000,85.23203
BHR,2001,90.72784
BHR,2002,87.61466
BHR,2003,92.6516
BHR,2004,101.91125
BHR,2005,99.50073
BHR,2006,106.76379
BHR,2007,110.75426
BHR,2008,112.15176
BHR,2009,99.42272
BHR,2010,114.63808
BHR,2011,115.44078
BHR,2012,114.94852
BHR,2013,109.27999
BHR,2014,109.523
BGD,1972,4.17207
BGD,1973,4.41489
BGD,1974,2.76796
BGD,1975,1.68189
BGD,1976,3.95755
BGD,1977,4.92153
BGD,1978,3.86424
BGD,1979,4.21471
BGD,1980,4.35615
BGD,1981,3.90796
BGD,1982,4.14598
BGD,1983,4.51455
BGD,1984,5.01547
BGD,1985,4.50385
BGD,1986,4.4389
BGD,1987,5.26646
BGD,1988,5.47257
BGD,1989,5.37784
BGD,1990,6.04762
BGD,1991,6.15377
BGD,1992,7.52897
BGD,1993,8.02923
BGD,1994,9.43014
BGD,1995,10.41634
BGD,1996,9.17229
BGD,1997,9.95152
BGD,1998,10.12587
BGD,1999,10.04299
BGD,2000,11.96525
BGD,2001,12.056
BGD,2002,11.6651
BGD,2003,12.65643
BGD,2004,14.3143
BGD,2005,14.26262
BGD,2006,17.1882
BGD,2007,16.61357
BGD,2008,16.80963
BGD,2009,15.16363
BGD,2010,16.04745
BGD,2011,18.68635
BGD,2012,18.8934
BGD,2013,18.84088
BGD,2014,17.6459
BRB,1966,33.01772
BRB,1967,30.2671
BRB,1968,29.21777
BRB,1969,24.04631
BRB,1970,25.07714
BRB,1971,21.24651
BRB,1972,19.20045
BRB,1973,18.80386
BRB,1974,24.88796
BRB,1975,26.48092
BRB,1976,19.81669
BRB,1977,19.26582
BRB,1978,23.48097
BRB,1979,22.66777
BRB,1980,21.20776
BRB,1981,17.50278
BRB,1982,22.14114
BRB,1983,25.9774
BRB,1984,28.9334
BRB,1985,24.55099
BRB,1986,17.70687
BRB,1987,9.17233
BRB,1988,9.59632
BRB,1989,9.73574
BRB,1990,10.40434
BRB,1991,10.20507
BRB,1992,8.4258
BRB,1993,7.94572
BRB,1994,7.33284
BRB,1995,10.60645
BRB,1996,15.77599
BRB,1997,11.76403
BRB,1998,9.5691
BRB,1999,8.75865
BRB,2000,8.74676
BRB,2001,9.72711
BRB,2002,13.13495
BRB,2003,13.09554
BRB,2004,15.539
BRB,2005,15.33072
BRB,2006,7.5272
BRB,2007,9.28209
BRB,2008,10.46777
BRB,2009,7.71061
BRB,2010,10.63348
BRB,2011,11.5585
BRB,2012,13.1009
BRB,2013,12.97774
BRB,2014,11.18631
BLR,1992,20.2423
BLR,1993,12.00426
BLR,1994,25.0134
BLR,1995,33.21613
BLR,1996,38.49524
BLR,1997,51.00785
BLR,1998,46.44412
BLR,1999,48.73821
BLR,2000,57.56201
BLR,2001,60.35887
BLR,2002,54.95615
BLR,2003,55.78147
BLR,2004,59.42419
BLR,2005,52.88365
BLR,2006,53.37075
BLR,2007,53.61634
BLR,2008,53.61256
BLR,2009,43.24889
BLR,2010,45.78608
BLR,2011,69.33788
BLR,2012,72.35272
BLR,2013,50.79824
BLR,2014,47.36482
BEL,1835,8.84902
BEL,1836,8.69663
BEL,1837,7.42649
BEL,1838,8.85968
BEL,1839,7.44564
BEL,1840,7.57628
BEL,1841,8.27031
BEL,1842,7.94346
BEL,1843,8.96844
BEL,1844,10.11142
BEL,1845,10.28483
BEL,1846,7.74019
BEL,1847,7.82368
BEL,1848,8.22014
BEL,1849,9.65312
BEL,1850,11.18799
BEL,1851,10.39617
BEL,1852,11.1699
BEL,1853,12.59041
BEL,1854,14.10306
BEL,1855,12.06951
BEL,1856,12.09453
BEL,1857,13.87155
BEL,1858,13.31542
BEL,1859,14.38552
BEL,1860,14.90731
BEL,1861,14.12133
BEL,1862,15.33212
BEL,1863,16.04027
BEL,1864,16.79839
BEL,1865,16.65973
BEL,1866,16.50598
BEL,1867,15.33593
BEL,1868,16.20191
BEL,1869,16.25249
BEL,1870,15.27201
BEL,1871,18.7686
BEL,1872,18.51311
BEL,1873,19.3911
BEL,1874,19.2473
BEL,1875,21.16749
BEL,1876,20.96587
BEL,1877,21.28313
BEL,1878,22.25642
BEL,1879,22.47474
BEL,1880,22.31868
BEL,1881,23.63014
BEL,1882,23.81307
BEL,1883,24.42014
BEL,1884,26.48492
BEL,1885,24.36181
BEL,1886,24.79919
BEL,1887,24.60709
BEL,1888,24.16764
BEL,1889,27.0678
BEL,1890,25.72062
BEL,1891,27.41737
BEL,1892,25.52012
BEL,1893,25.34637
BEL,1894,25.02249
BEL,1895,25.97222
BEL,1896,27.00891
BEL,1897,27.3678
BEL,1898,30.92637
BEL,1899,32.00054
BEL,1900,30.38226
BEL,1901,29.83771
BEL,1902,30.76449
BEL,1903,32.75663
BEL,1904,32.79729
BEL,1905,33.90156
BEL,1906,36.89022
BEL,1907,37.20607
BEL,1908,34.38111
BEL,1909,38.42345
BEL,1910,44.05146
BEL,1911,44.83847
BEL,1912,47.02655
BEL,1913,42.97007
BEL,1920,31.07422
BEL,1921,25.55544
BEL,1922,22.66242
BEL,1923,27.61084
BEL,1924,32.57953
BEL,1925,33.11274
BEL,1926,36.20639
BEL,1927,38.07805
BEL,1928,38.82825
BEL,1929,35.62611
BEL,1930,28.85865
BEL,1931,28.15068
BEL,1932,21.3842
BEL,1933,20.72697
BEL,1934,20.68946
BEL,1935,24.67174
BEL,1936,27.61707
BEL,1937,29.79545
BEL,1938,26.10328
BEL,1939,26.76298
BEL,1946,13.86461
BEL,1947,23.55455
BEL,1948,22.05681
BEL,1949,24.80662
BEL,1950,24.29728
BEL,1951,33.15414
BEL,1952,30.28677
BEL,1953,27.13304
BEL,1954,26.69001
BEL,1955,30.24888
BEL,1956,32.44947
BEL,1957,30.62494
